Number Name,,2019 mm/dd,Pts,Phase,LPAB BPAB,,Period(h),P.E.,Amp,A.E.
1620 Geographos,,01/03-01/11,170,"17.1,18.2",103 19,,5.2231,0.0002,1.22,0.03
5189 1990 UQ,,03/24-03/26,140,"8.4,10.3",176 5,,6.640,0.005,0.66,0.04
6178 1986 DA,,01/03-01/11,192,"4.5,4.1,4.7",107 5,,3.5002,0.0005,0.09,0.01
"",,18,,,,,,,,
18736 1998 NU,,11/15-11/19,101,"28.5,27.8",93 3,,2.471,0.002,0.16,0.02
"",,01/26-01/31,259,"9.3,13.4",119 -1,,2.4753,0.0003,0.10,0.01
88254 2001 FM129,,03/19-03/26,575,"63.2,46.5",150 -7,,38.56,0.03,1.2,0.1
89959 2002 NT7,,01/23-01/26,213,"64.0,61.2",174 23,,5.527,0.003,0.25,0.03
90403 2003 YE45,,12/28-01/22,735,"15.8,3.6,18.3",111 -1,,500,10,0.81,0.05
138937 2001 BK16,,01/03-01/11,296,"4.2,12.6",99 4,,15.06,0.02,0.13,0.02
162361 2000 AF6,,02/26-03/15,315,"15.2,14.2,45.4",157 11,,3.4558,0.0003,0.18,0.02
163051 2001 YJ4,,01/28-02/08,112,"21.2,29.5",103 -11,,4.693,0.001,0.17,0.02
208565 2002 CT11,,03/24-04/03,115,"3.3,1.7,8.4",184 1,,4.339,0.001,0.30,0.03
238063 2003 EG,,03/25-03/26,77,"4.1,4.2",185 -6,,7.23,0.01,0.74,0.05
275611 1999 XX262,,01/28-02/17,201,"21.2,2.4",148 4,,15.109,0.007,0.13,0.02
"",,,,,,,18.119,0.009,0.18,0.02
"",,16,,,,,,,,
"",,11/02-11/22,380,"27.3,26.0,26.2",55 20,,15.112,0.006,0.14,0.02
"",,,,,,,18.010,0.006,0.18,0.02
"",,14,,,,,,,,
"",,08/28-08/30,115,"10.7,9.1",345 2,,3.236,0.004,0.15,0.03
318411 2005 AH14,,03/05-03/14,176,"47.9,54.8",206 24,,9.65,0.02,0.18,0.03
381677 2009 BJ81,,01/26-02/17,1187,"16.1,15.4,23.0",142 9,,325,1,0.40,0.05
"",,,,,,,27.08,0.02,0.08,0.01
410088 2007 EJ,,01/26-02/17,348,"37.0,5.3,18.2",171 14,,4.5569,0.0002,0.10,0.02
"",,18/19,,,,,,,,
454177 2013 GJ35,,12/31-01/11,1322,"30.7,13.6,21.3",111 -1,,49.75,0.02,0.52,0.05
2005 FC3,,02/26-03/18,1044,"10.9,8.5,36.6",171 13,,30.89,0.03,0.17,0.03
2006 SK134,,03/28-04/03,989,"29.1,52.9",200 22,,15.50,0.02,0.37,0.03
"",,,,,,,20.70,0.01,0.39,0.03
2014 QR295,,02/26-03/17,956,"50.4,25.8",163 25,,62.98,0.03,0.59,0.04
2016 AZ8,,01/23-02/08,419,"36.1,25.6",129 18,,16.897,0.005,0.28,0.03
"",,,,,,,13.548,0.004,0.24,0.03
2018 XV,,12/30-01/23,540,"20.7,16.4,78.2",116 3,,290,5,0.28,0.03
2018 WR1,,12/29-01/04,520,"50.8,69.0",63 2,,66.7,0.4,0.69,0.05
2019 CH,,03/29-04/03,124,"2.3,4.3",190 -2,,6.772,0.002,0.74,0.03
2019 AP3,,03/15-03/26,220,"15.8,17.1",187 7,,29.54,0.01,1.05,0.05
