Number Name,,yyyymm/dd,Phase,LPAB,,BPAB,Period (h) P.E.,Amp A.E.,Grp
422 Berolina,,2011 03/06-03/24,"6.2,13.2",151,,3,25.98 0.01,0.15 0.05 FLOR,
433 Eros,,2009 06/18-06/22,"33.9,33.3",328,,2,5.27 0.01,0.45 0.01 NEA,
433 Eros,,2009 10/10-10/21,"29.5,34.1",343,,14,5.2712 0.0007,0.17 0.01 NEA,
433 Eros,,2009 11/17-11/26,"41.0,42.3",356,,14,5.275 0.003,0.06 0.01 NEA,
433 Eros,,2009/10 12/19-01/10,"44.2,45.0",17,,12,5.2709 0.0012,0.14 0.01 NEA,
711 Marmulla,,2011 01/15-11/17,"6.0,5.2",126,,6,2.7216 0.0005,0.18 0.01 FLOR,
735 Marghanna,,2011 04/29-05/05,"8.9,10.4",192,,9,20.625 0.011,0.12 0.01 MB-O,
1036 Ganymed,,"2008/09 12/03-01/08 14.4,14.6,13.1 163",,,,-25,10.307 0.004,0.12 0.01 NEA,
1036 Ganymed,,2009 01/15-02/19,"10.7,7.5",163,,-26,10.314 0.002,0.12 0.01 NEA,
1036 Ganymed,,2009 03/16-04/22,"7.7,12.6",160,,-24,10.312 0.001,0.09 0.01,NEA
1095 Tulipa,,2017 10/26-10/28,"15.3,15.7",345,,1,2.7870 0.0012,0.19 0.01 EOS,
1361 Leuschneria,,2010 06/19-06/21,"11.2,11.4",255,,27,12.08 0.01,0.40 0.05 MB-O,
1361 Leuschneria,,2017 10/28-11/26,"12.6,9.8",59,,-25,12.075 0.001,0.31 0.01 MB-O,
1609 Brenda,,2015 01/06-01/24,"12.8,17.5",77,,-8,19.776 0.002,0.27 0.01 MB-I,
1620 Geographos,,2008 11/04-11/20,"35.3,30.3",36,,22,5.2229 0.0002,1.13 0.02 NEA,
1627 Ivar,,2008 09/05-09/07,"43.6,43.2",38,,-11,4.796 0.002,1.55 0.05 NEA,
1627 Ivar,,2008 10/02-10/09,"31.3,27.2",47,,-13,4.795 0.001,1.26 0.02 NEA,
1627 Ivar,,2008 10/22-10/29,"19.0,14.8",49,,-14,4.7950 0.0003,1.12 0.02 NEA,
1627 Ivar,,2008 12/01-12/07,"15.3,17.7",50,,-12,4.7952 0.0003,1.11 0.02 NEA,
1627 Ivar,,2008/09 12/29-01/03,"24.0,24.9",54,,-10,4.7957 0.0003,1.30 0.02 NEA,
1627 Ivar,,2009 01/15-02/02,"26.4,26.9",59,,-9,4.7955 0.0002,1.36 0.03 NEA,
