Number,Name,properH,DynClass,grcomplex
221455,"2006 BC10",,"NEA>Apollo",S
375103,"2007 TD71",,"NEA>Apollo",V
,"2010 DB34",,"NEA>Amor",V
,"2006 SV189",,"NEA>Amor",C
221455,"2006 BC10",,"NEA>Apollo",S
,"2010 AG40",,"NEA>Apollo",V
306595,"2000 GG147",,"NEA>Amor",U
,"2008 SO1",,"NEA>Amor",V
,"2015 DK200",,"NEA>Apollo",C
477327,"2009 TB8",,"NEA>Apollo",B
26310,"1998 TX6",,"NEA>Amor",V
,"2012 PO28",,"NEA>Amor",B
,"2001 XU30",,"NEA>Apollo",U
,"2006 SV189",,"NEA>Amor",C
,"2006 RH7",,"NEA>Apollo",S
,"2012 PO28",,"NEA>Amor",B
,"2005 SM25",,"NEA>Amor",U
,"2009 SU19",,"NEA>Apollo",V
,"2015 RE36",,"NEA>Apollo",S
,"2001 UX4",,"NEA>Apollo",V
,"2015 BU515",,"NEA>Amor",V
,"2005 QG88",,"NEA>Apollo",S
162433,"2000 FK10",,"NEA>Apollo",X
,"2006 SP134",,"NEA>Apollo",D
100756,"1998 FM5",,"NEA>Apollo",S
,"2009 DQ4",,"NEA>Apollo",U
,"2012 PO28",,"NEA>Amor",B
38239,"1999 OR3",,"NEA>Apollo",S
,"2006 UA",,"NEA>Apollo",X
,"2008 VF",,"NEA>Aten",C
,"2001 SK9",,"NEA>Apollo",C
,"2001 UX4",,"NEA>Apollo",V
5011,"Ptah",,"NEA>Apollo",S
,"2004 TG10",,"NEA>Apollo",X
380359,"2002 TN30",,"NEA>Amor",D
415710,"1998 WC2",,"NEA>Amor",S
349063,"2006 XA",,"NEA>Apollo",V
415710,"1998 WC2",,"NEA>Amor",S
277958,"2006 SP134",,"NEA>Apollo",D
162186,"1999 OP3",,"NEA>Amor",S
,"2015 TE323",,"NEA>Apollo",V
,"2006 SV189",,"NEA>Amor",C
286080,"2001 TX1",,"NEA>Apollo",V
277958,"2006 SP134",,"NEA>Apollo",D
,"2010 CN44",,"NEA>Apollo",U
,"2012 PO28",,"NEA>Amor",B
404108,"2012 SF51",,"NEA>Apollo",D
221455,"2006 BC10",,"NEA>Apollo",S
,"2015 TE323",,"NEA>Apollo",V
140333,"2001 TD2",,"NEA>Aten",S
,"2001 YT3",,"NEA>Amor",S
,"2009 TK8",,"NEA>Aten",V
,"2009 TK8",,"NEA>Aten",V
,"1998 MZ",,"NEA>Apollo",S
,"2004 CS",,"NEA>Amor",U
378842,"2008 TD4",,"NEA>Apollo",S
,"2006 HD2",,"NEA>Apollo",V
5011,"Ptah",,"NEA>Apollo",S
192642,"1999 RD32",,"NEA>Apollo",C
414772,"2010 OC103",,"NEA>Apollo",C
225312,"1996 XB27",,"NEA>Amor",V
11500,"Tomaiyowit",,"NEA>Apollo",C
277958,"2006 SP134",,"NEA>Apollo",D
,"2019 VE3",,"NEA>Apollo",U
,"2006 UR216",,"NEA>Apollo",U
,"1998 WT30",,"NEA>Amor",V
240320,"2003 HS42",,"NEA>Amor",V
277958,"2006 SP134",,"NEA>Apollo",D
,"2017 MJ8",,"NEA>Apollo",V
,"2011 UC292",,"NEA>Apollo",V
,"2001 YT3",,"NEA>Amor",S
513497,"2009 HB82",,"NEA>Amor",V
,"2019 YL1",,"NEA>Apollo",U
,"2011 UC292",,"NEA>Apollo",V
216258,"2006 WH1",,"NEA>Apollo",U
,"2016 AX147",,"NEA>Amor",U
,"2006 WN3",,"NEA>Apollo",U
,"2017 UR4",,"NEA>Apollo",U
90403,"2003 YE45",,"NEA>Apollo",V
,"2002 WC1",,"NEA>Amor",V
,"2020 BA1",,"NEA>Apollo",U
189973,"2003 XE11",,"NEA>Amor",C
,"2006 HD2",,"NEA>Apollo",V
5011,"Ptah",,"NEA>Apollo",S
,"2008 HO3",,"NEA>Amor",U
,"2015 DX198",,"NEA>Amor",V
3361,"Orpheus",,"NEA>Apollo",S
,"2011 BH40",,"NEA>Apollo",U
,"2007 DB56",,"NEA>Amor",D
,"2019 YN6",,"NEA>Amor",U
277958,"2006 SP134",,"NEA>Apollo",D
163667,"2002 WC1",,"NEA>Amor",V
5011,"Ptah",,"NEA>Apollo",S
,"2016 KZ",,"NEA>Amor",U
154278,"2002 TB9",,"NEA>Apollo",S
,"2016 VS5",,"NEA>Apollo",B
,"2011 OK5",,"NEA>Amor",V
,"2014 QL390",,"NEA>Amor",V
,"2015 CU58",,"NEA>Amor",U
,"1998 FX2",,"NEA>Amor",V
5011,"Ptah",,"NEA>Apollo",S
,"2012 UU136",,"NEA>Apollo",U
,"2014 QL390",,"NEA>Amor",V
163667,"2002 WC1",,"NEA>Amor",V
2201,"Oljato",,"NEA>Apollo",S
345646,"2006 TN",,"NEA>Amor",C
,"2014 YB35",,"NEA>Apollo",C
,"2013 AU76",,"NEA>Apollo",U
,"2007 VM243",,"NEA>Apollo",V
189552,"2000 RL77",,"NEA>Amor",Q
414772,"2010 OC103",,"NEA>Apollo",C
,"2005 UG5",,"NEA>Apollo",D
4503,"Cleobulus",,"NEA>Amor",S
216115,"2006 SU19",,"NEA>Apollo",V
333480,"2004 TC10",,"NEA>Apollo",S
363076,"2000 PH6",,"NEA>Amor",C
38239,"1999 OR3",,"NEA>Apollo",S
,"2000 CQ101",,"NEA>Amor",C
277958,"2006 SP134",,"NEA>Apollo",D
,"2009 DG9",,"NEA>Amor",U
,"2000 CQ101",,"NEA>Amor",C
,"2006 WZ3",,"NEA>Apollo",V
,"2006 SB142",,"NEA>Amor",C
216115,"2006 SU19",,"NEA>Apollo",V
196068,"2002 TW55",,"NEA>Apollo",V
,"2016 PF8",,"NEA>Apollo",D
,"2016 AO165",,"NEA>Apollo",U
,"2006 SB142",,"NEA>Amor",C
,"2015 LJ24",,"NEA>Apollo",U
,"2012 AY",,"NEA>Apollo",U
370702,"2004 NC9",,"NEA>Amor",V
,"2008 CA5",,"NEA>Apollo",U
345646,"2006 TN",,"NEA>Amor",C
359369,"2009 YG",,"NEA>Apollo",U
,"2012 PO28",,"NEA>Amor",B
,"2016 SG1",,"NEA>Apollo",U
,"2002 WC1",,"NEA>Amor",V
216115,"2006 SU19",,"NEA>Apollo",V
,"2005 TB15",,"NEA>Apollo",S
,"2007 FH1",,"NEA>Amor",U
202411,"2005 RC",,"NEA>Apollo",X
,"2012 PO28",,"NEA>Amor",B
,"2002 VV17",,"NEA>Aten",D
,"2008 JV2",,"NEA>Apollo",U
374267,"2005 LW",,"NEA>Apollo",S
152685,"1998 MZ",,"NEA>Apollo",S
,"2002 LE31",,"NEA>Apollo",U
216115,"2006 SU19",,"NEA>Apollo",V
,"1991 DG",,"NEA>Apollo",U
,"2014 QX432",,"NEA>Apollo",C
,"2015 GF27",,"NEA>Amor",V
,"2018 XB20",,"NEA>Apollo",U
,"2006 SP134",,"NEA>Apollo",D
374267,"2005 LW",,"NEA>Apollo",S
345646,"2006 TN",,"NEA>Amor",C
,"2018 DX3",,"NEA>Amor",V
138847,"2000 VE62",,"NEA>Amor",S
,"2018 WJ1",,"NEA>Amor",V
277958,"2006 SP134",,"NEA>Apollo",D
138847,"2000 VE62",,"NEA>Amor",S
,"2018 DX3",,"NEA>Amor",V
,"2005 JS108",,"NEA>Apollo",C
348461,"2005 SH19",,"NEA>Apollo",U
,"2004 TC10",,"NEA>Apollo",S
2201,"Oljato",,"NEA>Apollo",S
285638,"2000 SO10",,"NEA>Apollo",C
391033,"2005 TR15",,"NEA>Amor",S
481457,"2006 XD2",,"NEA>Apollo",C
5011,"Ptah",,"NEA>Apollo",S
,"2009 QG34",,"NEA>Apollo",V
,"2011 CY46",,"NEA>Apollo",V
171486,"1996 MO",,"NEA>Apollo",V
,"2013 AB53",,"NEA>Amor",V
,"2013 YZ37",,"NEA>Amor",S
17511,"1992 QN",,"NEA>Apollo",C
332775,"2009 VO24",,"NEA>Apollo",V
277958,"2006 SP134",,"NEA>Apollo",D
