Number,Name,DynClass,u-v,u-g,u-r,u-i,u-z,v-g,v-r,v-i,v-z,g-r,g-i,i-z,g-z,r-i,r-z,complex,complex1,complex2,nc
7977,"        1977 QQ5","           NEA>Amor",,,,,,,,,,0.3584,0.6593,-0.1513,0.508,0.3009,0.1496,S,"pU","pS",1
331471,"        1984 QY1","         NEA>Apollo",,,,,,,,,,0.4141,,,,,,S,"  ","  ",5
5131,"         1990 BG","         NEA>Apollo",,,,,,,,,,0.3808,,0.0023,,,,S,"pS","pU",2
9856,"         1991 EE","         NEA>Apollo",,,,,,,,,,0.5154,0.698,-0.2239,0.478,0.1826,-0.0374,V,"pU","pV",1
5626,"         1991 FE","           NEA>Amor",,,,,,,,,,0.4109,0.8234,-0.0957,0.6349,0.4324,0.241,U,"pU","pS",1
5604,"         1992 FE","           NEA>Aten",,,,,,1.3397,1.7661,1.8483,1.4522,0.4264,0.5086,-0.3961,0.1125,0.0822,-0.3139,V,"pU","pV",1
39565,"         1992 SL","           NEA>Amor",,,,,,,,,,0.6136,,,,,,U,"  ","  ",5
65717,"        1993 BX3","         NEA>Apollo",,,,,,,,,,-0.3913,0.8994,,,1.2907,,U,"  ","  ",5
8037,"        1993 HO1","           NEA>Amor",,,,,,,,,,0.5128,0.767,,,0.2542,,S,"  ","  ",5
5836,"         1993 MF","           NEA>Amor",,,,,,1.4251,1.7971,,,0.372,,,,,,S,"  ","  ",5
9202,"         1993 PB","         NEA>Apollo",,,,,,1.289,1.7165,1.9684,1.8673,0.3356,0.4665,-0.062,0.4045,0.1309,0.0689,B,"pU","pB",1
7888,"         1993 UC","         NEA>Apollo",,,,,,,,,,0.3656,,,,,,S,"  ","  ",5
7350,"         1993 VA","         NEA>Apollo",,,,,,,,,,0.3126,,,,,,C,"  ","  ",5
10145,"        1994 CK1","         NEA>Apollo",,,,,,,,,,0.0795,,,,,,U,"  ","  ",5
136618,"        1994 CN2","         NEA>Apollo",,,,,,,,,,0.3995,,,,,,S,"  ","  ",5
152575,"         1994 GY","           NEA>Amor",,,,,2.8002,,,,,0.4098,,,,,,S,"  ","  ",5
7482,"        1994 PC1","         NEA>Apollo",,,,,,,,,,0.4757,0.653,,,0.1773,,S,"  ","  ",5
9400,"        1994 TW1","           NEA>Amor",,,,,,,,,,0.2809,0.3517,-0.014,0.5446,0.0708,0.2637,B,"pU","pB",1
136635,"        1994 VA1","           NEA>Amor",,,,,,,,,,0.4077,0.6784,-0.1737,0.4025,0.313,0.0371,S,"pU","pS",1
243566,"         1995 SA","         NEA>Apollo",,,,,,,,,,0.2526,,,,,,C,"  ","  ",5
23606,"        1996 AS1","           NEA>Amor",,,,,,,,,,0.2192,,,,,,C,"  ","  ",5
467309,"        1996 AW1","         NEA>Apollo",,,,,,,,,,,,-0.1693,,0.2042,0.0349,S,"pS","pU",4
162038,"         1996 DH","           NEA>Amor",,,,,,,,,,0.4701,0.7289,,,0.267,,S,"  ","  ",5
8567,"        1996 HW1","           NEA>Amor",,,,,,,,,,0.3334,0.7992,,,0.521,,C,"  ","  ",5
152637,"        1997 NC1","           NEA>Aten",,,,,,,,,,,,-0.2045,,0.1137,-0.0908,Q,"pU","pQ",4
85490,"        1997 SE5","           NEA>Amor",,,,,,,,,,0.3123,,,,,,C,"  ","  ",5
39796,"         1997 TD","           NEA>Amor",0.5386,2.085,2.4375,2.6238,2.2576,1.5464,1.8989,2.0852,1.719,0.3581,0.5601,-0.3893,0.1706,0.1912,-0.193,V,"pV","pU",1
136849,"        1998 CS1","         NEA>Apollo",,,,,,,,,,0.6404,0.8389,-0.2197,0.6192,0.1985,-0.0212,U,"pU","pV",1
136874,"       1998 FH74","         NEA>Apollo",,,,,,,,,,0.398,,,,,,S,"  ","  ",5
,"       1998 GL10","           NEA>Amor",,,,,,,,,,0.3437,0.5047,-0.01,0.4947,0.161,0.2257,X,"pU","pX",1
136897,"       1998 HJ41","           NEA>Amor",,,,,,,,,,0.4451,0.5492,-0.1304,0.4188,0.1041,-0.0263,V,"pU","pV",1
162082,"        1998 HL1","         NEA>Apollo",,,,,,,,,,0.632,,,,,,U,"  ","  ",5
136900,"       1998 HL49","         NEA>Apollo",,,,,,,,,,,0.7406,-0.5457,0.1949,,,V,"pU","pV",3
136923,"        1998 JH2","           NEA>Amor",,,,,,,,,,0.7146,0.9586,-0.0896,0.869,0.244,0.1544,U,"pU","pA",1
52750,"       1998 KK17","         NEA>Apollo",,,,,,,,,,0.3918,,,,,,S,"  ","  ",5
152679,"        1998 KU2","         NEA>Apollo",,,,,,,,,,0.3056,0.3837,-0.0079,0.3413,0.0781,0.0357,B,"pB","pC",1
85628,"        1998 KV2","           NEA>Amor",,,,,,,,,,0.3516,0.5218,-0.0949,0.2835,0.174,-0.0514,U,"pU","pB",1
31345,"         1998 PG","           NEA>Amor",,,,,,,,,,0.4814,0.6383,-0.1137,0.6142,0.1999,0.1328,S,"pU","pS",1
66008,"        1998 QH2","         NEA>Apollo",,,,,,,,,,0.373,0.5992,-0.0529,0.5463,0.2262,0.1733,X,"pU","pX",1
85713,"       1998 SS49","         NEA>Apollo",,,,,,,,,,0.3097,0.6121,,,0.318,,C,"  ","  ",5
333889,"        1998 SV4","           NEA>Aten",,,,,,,,,,0.268,,,,,,C,"  ","  ",5
66146,"        1998 TU3","           NEA>Aten",,,,,,,,,,0.3839,,-0.1819,,,,S,"pS","pU",2
159399,"        1998 UL1","           NEA>Amor",,,,,,,,,,0.4596,,-0.0037,,,,S,"pS","pU",2
192559,"         1998 VO","         NEA>Apollo",,,,,,,,,,-0.0819,0.4726,,,0.5545,,U,"  ","  ",5
137062,"         1998 WM","         NEA>Apollo",,,,,,,,,,,,-0.1176,,0.2174,0.0998,S,"pS","pA",4
85804,"        1998 WQ5","           NEA>Amor",,,,,,1.5291,1.969,2.2015,2.0927,0.4317,0.6536,-0.1052,0.5484,0.2219,0.1167,S,"pS","pU",1
,"        1999 AF4","           NEA>Amor",,,,,,,,,,0.2826,,,,,,C,"  ","  ",5
152754,"        1999 GS6","         NEA>Apollo",,,,,,,,,,0.3438,,,,,,U,"  ","  ",5
162168,"        1999 GT6","           NEA>Amor",,,,,,,,,,0.3649,0.6672,0.0604,0.7667,0.3452,0.4393,U,"pU","pK",1
25330,"        1999 KV4","         NEA>Apollo",,,,,,,,,,0.3301,,-0.1542,,,,U,"pU","pB",2
523803,"        1999 RV2","           NEA>Amor",,,,,,,,,,0.4556,,,,,,S,"  ","  ",5
152787,"       1999 TB10","           NEA>Amor",,,,,,,,,,0.4038,,,,,,S,"  ","  ",5
36183,"       1999 TX16","           NEA>Amor",,,,,,,,,,0.4194,0.4249,,,0.0055,,S,"  ","  ",5
337118,"        1999 TX2","         NEA>Apollo",,,,,,,,,,0.2369,,,,,,U,"  ","  ",5
413002,"       1999 VG22","           NEA>Amor",,,,,,,,,,0.5377,0.7201,-0.0934,0.6267,0.1824,0.089,S,"pU","pS",1
53435,"       1999 VM40","           NEA>Amor",,,,,,,,,,0.3342,0.7069,,,0.3721,,C,"  ","  ",5
171576,"       1999 VP11","         NEA>Apollo",,,,,,,,,,0.4023,0.9519,,,0.5496,,S,"  ","  ",5
474179,"        1999 VS6","         NEA>Apollo",,,,,,,,,,0.355,,,,,,S,"  ","  ",5
86324,"        1999 WA2","           NEA>Amor",,,,,,,,,,,,-0.1337,,0.2454,0.1163,A,"pA","pS",4
86326,"       1999 WK13","           NEA>Amor",,,,,,,,,,0.4225,,-0.0789,,,,S,"pS","pC",2
483422,"       2000 CE59","         NEA>Apollo",,,,,,,,,,0.7458,,,,,,U,"  ","  ",5
53789,"      2000 ED104","         NEA>Apollo",,,,,,,,,,,,-0.2525,,0.5273,0.2748,U,"pU","pC",4
185853,"       2000 ER70","           NEA>Amor",,,,,,,,,,0.4836,,,,,,S,"  ","  ",5
