Nr     Name                         Prov.Desig     Taxon1   Ref  Taxon_al Refs
       1991 TF3                     1991 TF3       Scomp    E51  Scomp    E51
       1991 XB                      1991 XB        K        996  K;SX     996,665    
       1992 UB                      1992 UB        X        665  X        665    
       1993 TQ2                     1993 TQ2       Sa       539  Sa       539,664
       1994 AW1                     1994 AW1       Sa       539  Sa       539,664
       1994 CJ1                     1994 CJ1       A        H88  A        H88    
       1994 XD                      1994 XD        Q        F82  Q        F82
       1996 FQ3                     1996 FQ3       Sq       539  Sq       539,664
       1996 JA1                     1996 JA1       V        181  V        181
       1997 AC11                    1997 AC11      Xc       539  Xc       539,664
       1997 GL3                     1997 GL3       V        539  V        539,664
       1997 QK1                     1997 QK1       Sq       540  SQ       540
       1997 RT                      1997 RT        O        664  O;Q      539,664
       1997 TT25                    1997 TT25      Sq       539  Sq       539,664
       1997 UH9                     1997 UH9       Sq       664  Sq,S     539,614,664,A45
       1997 VM4                     1997 VM4       Q        540  Q        540
       1997 YM3                     1997 YM3       C        996  C        996
       1998 BM10                    1998 BM10      Sq       539  Sq       539
       1998 BT13                    1998 BT13      Sq       539  Sq       539
       1998 HD14                    1998 HD14      Q        540  Q        540
       1998 HT31                    1998 HT31      C:       664  C:       664  
       1998 ME3                     1998 ME3       F        540  F        540
       1998 MW5                     1998 MW5       Sq       539  Sq       539
       1998 QA1                     1998 QA1       C        540  C        540
       1998 QC1                     1998 QC1       S        540  S        540
       1998 QK28                    1998 QK28      C        540  C        540
       1998 QR15                    1998 QR15      Sq       664  Sq;Q     539,664,540
       1998 QV3                     1998 QV3       Q        540  Q        540
       1998 SG2                     1998 SG2       Sq       539  Sq       539,664
       1998 SJ70                    1998 SJ70      Q        E51  Q        E51
       1998 WB2                     1998 WB2       S        510  S        510,540
       1998 WZ1                     1998 WZ1       Q        540  Q        540
       1999 AF4                     1999 AF4       C        996  C        996,997
       1999 CW8                     1999 CW8       B        664  B        664    
       1999 DB2                     1999 DB2       Sq       664  Sq       664    
       1999 DY2                     1999 DY2       Sr       664  Sr       664    
       1999 EE5                     1999 EE5       S        539  S        539,664
       1999 FA                      1999 FA        S        539  S        539,666
       1999 FN19                    1999 FN19      Sq       666  Sq       666    
       1999 JE1                     1999 JE1       Sq       539  Sq       539
       1999 JO8                     1999 JO8       S        539  S        539
       1999 LT1                     1999 LT1       C        996  C,F      996,997
       1999 MN                      1999 MN        Sq       A43  Sq       A43,A58
       1999 RB32                    1999 RB32      V        539  V        539
       1999 SE10                    1999 SE10      X        539  X        539
       1999 SK10                    1999 SK10      Sq       539  Sq       539
       1999 TY2                     1999 TY2       S        510  S        510       
       1999 VN6                     1999 VN6       C        539  C        539
       1999 VR6                     1999 VR6       S        H88  S        H88    
       1999 YD                      1999 YD        Sk       539  Sk       539
       1999 YG3                     1999 YG3       S        539  S        539
       2000 AC6                     2000 AC6       Q        539  Q        539
       2000 AE205                   2000 AE205     S        539  S        539
       2000 AH205                   2000 AH205     Sk       539  Sk       539
       2000 AX93                    2000 AX93      Sq       539  Sq       539
       2000 BG19                    2000 BG19      X        664  X        664
       2000 CE59                    2000 CE59      L        664  L        664    
       2000 CN33                    2000 CN33      X        664  X        664    
       2000 DO1                     2000 DO1       V        664  V        664   
       2000 DO8                     2000 DO8       S:       664  S:       664    
       2000 EB107                   2000 EB107     D        996  D        996,997
       2000 EW70                    2000 EW70      F        540  F        540
       2000 GF2                     2000 GF2       S/Sr     E51  S/Sr     E51  
       2000 GU127                   2000 GU127     S:       664  S:       664    
       2000 GV127                   2000 GV127     S:       664  S:       664    
       2000 JQ66                    2000 JQ66      R        664  R        664    
       2000 KL33                    2000 KL33      S        664  S        664    
       2000 LF6                     2000 LF6       D        996  D        996,997
       2000 PG3                     2000 PG3       D        664  D        664    
       2000 QN130                   2000 QN130     C        614  C        614,A45
       2000 QW7                     2000 QW7       Sq/Q     E51  Sq/Q     E51  
       2000 RS11                    2000 RS11      Sa       614  Sa       614,A45
       2000 SL                      2000 SL        S/Sr     E51  S/Sr     E51  
       2000 SY162                   2000 SY162     Sq:      664  Sq:      664    
       2000 TJ1                     2000 TJ1       Sq       D81  Sq       D81
       2000 TU28                    2000 TU28      S/Sr     E51  S/Sr     E51  
       2000 UJ1                     2000 UJ1       S        A37  S,Xk     A37,A39,A58
       2000 WC67                    2000 WC67      X        664  X        664    
       2000 WJ10                    2000 WJ10      Xk       664  Xk       664    
       2000 WJ63                    2000 WJ63      Sq       664  Sq       664    
       2000 WK10                    2000 WK10      X        664  X        664    
       2000 WL10                    2000 WL10      Xc       664  Xc       664    
       2000 WL63                    2000 WL63      S        664  S        664    
       2000 WM63                    2000 WM63      S        664  S        664    
       2000 YA                      2000 YA        Sk       664  Sk       664    
       2000 YF29                    2000 YF29      S        666  S        666  
       2000 YO29                    2000 YO29      C        664  C        664    
       2001 EC                      2001 EC        Sq       664  Sq       664    
       2001 FE90                    2001 FE90      A        A42  A        A42,A58
       2001 HA8                     2001 HA8       C:       664  C:       664    
       2001 HC                      2001 HC        Sq       D81  Sq       D81
       2001 HK31                    2001 HK31      X        664  X        664    
       2001 HW15                    2001 HW15      X        664  X        664    
       2001 JV1                     2001 JV1       Sq       664  Sq       664   
       2001 MF1                     2001 MF1       Sk       664  Sk       664  
       2001 OE84                    2001 OE84      S        664  S        664    
       2001 PD1                     2001 PD1       K:       664  K:       664    
       2001 QA143                   2001 QA143     Sk       664  Sk       664    
       2001 QC34                    2001 QC34      Q        876  Q,O      876
       2001 QP181                   2001 QP181     Scomp    E51  Scomp    E51  
       2001 RB18                    2001 RB18      C        614  C        614,A45
       2001 SG286                   2001 SG286     D        666  D        666    
       2001 SJ262                   2001 SJ262     C:       664  C:       664    
       2001 TC45                    2001 TC45      Sq       664  Sq       664    
       2001 TY44                    2001 TY44      X        664  X        664    
       2001 UC5                     2001 UC5       X        664  X        664  
       2001 UG18                    2001 UG18      S        H88  S        H88    
       2001 UU92                    2001 UU92      T        664  T        664  
       2001 WH2                     2001 WH2       X        664  X        664    
       2001 XP1                     2001 XP1       P        996  P        996
       2001 XS1                     2001 XS1       Cb       664  Cb       664    
       2001 XU30                    2001 XU30      Sq       664  Sq       664    
       2001 XY10                    2001 XY10      Sk       664  Sk       664    
       2001 YE1                     2001 YE1       T        664  T        664    
       2001 YK4                     2001 YK4       X:       664  X:       664    
       2002 AH29                    2002 AH29      K        664  K        664    
       2002 AK14                    2002 AK14      V:       664  V:       664    
       2002 AL14                    2002 AL14      Sl       A45  Ld,Sl    664,A45    
       2002 AL31                    2002 AL31      X        666  X        666    
       2002 AQ2                     2002 AQ2       S        664  S        664    
       2002 AT4                     2002 AT4       D        666  D        666  
       2002 AU5                     2002 AU5       X        664  X        664    
       2002 AV                      2002 AV        S        E51  K;S      664,E51
       2002 BA1                     2002 BA1       S        664  S        664    
       2002 BM26                    2002 BM26      X        664  X        664    
       2002 BP26                    2002 BP26      X        664  X        664    
       2002 CS11                    2002 CS11      X:       664  X:       664    
       2002 CT46                    2002 CT46      Sr       664  Sr       664    
       2002 DH2                     2002 DH2       Ch       664  Ch       664    
       2002 DO3                     2002 DO3       X:       664  X:       664    
       2002 DQ3                     2002 DQ3       Sq       666  Sq       666    
